Name,Date,Time,Cleaned_text,Call
BitmexCourses,2022-09-29,02:53:50,"['LRC', 'LRCUSDT', 'BinanceBuy', 'Between', '0.28', '-', '0.31Targets', '0.33', '-', '0.36', '-', '0.39', '-', '0.44Stop', 'loss', '0.25Leverage', '2xhttpswww.tradingview.comxFC8GhXbU', 'BitmexCourses']","[array('LRC', dtype='<U3'), array('USDT', dtype='<U4'), array('Binance', dtype='<U7'), array('Buy', dtype='<U3'), 'None', array('2', dtype='<U1'), ['0.33', '0.36', '0.39', '0.44'], array('0.25', dtype='<U4')]"
BitmexCourses,2022-09-30,08:12:06,"['APE', 'APEUSDT', 'BinanceBuy', '5.40', '-', '5.55Targets', '5.70', '-', '6.10', '-', '6.60', '-', '7.10Stop', 'Loss', '4.90httpswww.tradingview.comxo9cnZi3o', 'BitmexCourses']","[array('APE', dtype='<U3'), array('USDT', dtype='<U4'), array('Binance', dtype='<U7'), array('Buy', dtype='<U3'), 'None', 'None', ['5.70', '6.10', '6.60', '7.10'], array('4.90', dtype='<U4')]"
BitmexCourses,2022-10-01,03:58:35,"['DUSK', 'DUSKUSDT', 'BinanceBuy', '0.110', '-', '0.120Targets', '0.132', '-', '0.145', '-', '0.166', '-', '1.88Stop', 'Loss', '0.099httpswww.tradingview.comxc6WDslWI', 'BitmexCourses']","[array('DUSK', dtype='<U4'), array('USDT', dtype='<U4'), array('Binance', dtype='<U7'), array('Buy', dtype='<U3'), 'None', 'None', ['0.132', '0.145', '0.166', '1.88'], array('0.099', dtype='<U5')]"
BitmexCourses,2022-10-01,04:02:02,"['DUSK', 'DUSKUSDT', 'BinanceBuy', '0.110', '-', '0.120Targets', '0.132', '-', '0.145', '-', '0.166', '-', '0.188Stop', 'Loss', '0.099httpswww.tradingview.comxc6WDslWI', 'BitmexCourses']","[array('DUSK', dtype='<U4'), array('USDT', dtype='<U4'), array('Binance', dtype='<U7'), array('Buy', dtype='<U3'), 'None', 'None', ['0.132', '0.145', '0.166', '0.188'], array('0.099', dtype='<U5')]"
BitmexCourses,2022-10-01,04:04:47,"['TLM', 'TLMUSDT', 'BinanceBuy', 'Between', '0.0225', '-', '0.0234Targets', '0.0250', '-', '0.0266', '-', '0.0286', '-', '0.0310Stop', 'Loss', '0.0210httpswww.tradingview.comxmmiCNWlD', 'BitmexCourses']","[array('TLM', dtype='<U3'), array('USDT', dtype='<U4'), array('Binance', dtype='<U7'), array('Buy', dtype='<U3'), 'None', 'None', ['0.0250', '0.0266', '0.0286', '0.0310'], array('0.0210', dtype='<U6')]"
BitmexCourses,2022-10-01,04:09:59,"['COMP', 'COMPUSDT', 'BinanceBuy', 'Between', '56', '-', '62Targets', '68', '-', '76', '-', '86', '-', '99Stop', 'Loss', '48httpswww.tradingview.comx0I5Aygjo', 'BitmexCourses']","[array('COMP', dtype='<U4'), array('USDT', dtype='<U4'), array('Binance', dtype='<U7'), array('Buy', dtype='<U3'), 'None', 'None', ['68', '76', '86', '99'], array('48', dtype='<U2')]"
BitmexCourses,2022-10-01,04:36:47,"['XLM', 'XLMUSDT', 'BinanceBuy', '0.102', '-', '0.115Targets', '0.129', '-', '0.144', '-', '0.168', '-', '0.189Stop', 'Loss', '0.089httpswww.tradingview.comxqJ1jyTUk', 'BitmexCourses']","[array('XLM', dtype='<U3'), array('USDT', dtype='<U4'), array('Binance', dtype='<U7'), array('Buy', dtype='<U3'), 'None', 'None', ['0.129', '0.144', '0.168', '0.189'], array('0.089', dtype='<U5')]"
BitmexCourses,2022-10-01,05:16:06,"['FIDA', 'FIDAUSDT', 'BinanceBuy', 'Between', '0.46', '-', '0.49Targets', '0.54', '-', '0.60', '-', '0.66', '-', '0.74Stop', 'Loss', '0.40httpswww.tradingview.comxnJgIBO7J', 'BitmexCourses']","[array('FIDA', dtype='<U4'), array('USDT', dtype='<U4'), array('Binance', dtype='<U7'), array('Buy', dtype='<U3'), 'None', 'None', ['0.54', '0.60', '0.66', '0.74'], array('0.40', dtype='<U4')]"
BitmexCourses,2022-10-04,03:41:46,"['KAVA', 'KAVAUSDT', 'BinanceBuy', 'Between', '1.48', '-', '1.55Targets', '1.66', '-', '1.78', '-', '1.90', '-', '2.05Stop', 'Loss', '1.30Leverage', '3xhttpswww.tradingview.comx3lmcrhfK', 'BitmexCourses']","[array('KAVA', dtype='<U4'), array('USDT', dtype='<U4'), array('Binance', dtype='<U7'), array('Buy', dtype='<U3'), 'None', array('3', dtype='<U1'), ['1.66', '1.78', '1.90', '2.05'], array('1.30', dtype='<U4')]"
BitmexCourses,2022-10-04,03:45:55,"['BAND', 'BANDUSDT', 'BinanceBuy', 'Between', '1.15', '-', '1.26Targets', '1.34', '-', '1.44', '-', '1.60', '-', '1.80Stop', 'Loss', '1.00Leverage', '2xhttpswww.tradingview.comx4w49EJ6S', 'BitmexCourses']","[array('BAND', dtype='<U4'), array('USDT', dtype='<U4'), array('Binance', dtype='<U7'), array('Buy', dtype='<U3'), 'None', array('2', dtype='<U1'), ['1.34', '1.44', '1.60', '1.80'], array('1.00', dtype='<U4')]"
