Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,TB Base Volume,TB Quote Volume,Ignore
2022-12-22,0.2392,0.2418,0.2344,0.2384,125615.00000000,2022-12-22 23:59:59.999000064,29880.22880000,262,52784.00000000,12607.35530000,0
2022-12-23,0.2389,0.2999,0.2388,0.2894,9509920.00000000,2022-12-23 23:59:59.999000064,2544489.21990000,17921,4616653.00000000,1235738.27010000,0
2022-12-24,0.2898,0.3036,0.2495,0.2511,9592660.00000000,2022-12-24 23:59:59.999000064,2560932.28790000,17142,4235673.00000000,1134544.25920000,0
2022-12-25,0.2511,0.2543,0.243,0.2437,752539.00000000,2022-12-25 23:59:59.999000064,186978.34940000,1218,321577.00000000,79977.34360000,0
2022-12-26,0.244,0.2853,0.2415,0.252,5796209.00000000,2022-12-26 23:59:59.999000064,1549934.41740000,10381,2824734.00000000,755353.03800000,0
2022-12-27,0.252,0.2661,0.2468,0.2587,2700756.00000000,2022-12-27 23:59:59.999000064,690637.20170000,4745,1207912.00000000,309669.48580000,0
2022-12-28,0.2573,0.2682,0.2453,0.2472,1437361.00000000,2022-12-28 23:59:59.999000064,365219.76480000,2626,704503.00000000,179050.98040000,0
2022-12-29,0.2481,0.2495,0.244,0.2475,326805.00000000,2022-12-29 23:59:59.999000064,80725.65400000,680,184611.00000000,45614.30290000,0
2022-12-30,0.2479,0.255,0.2433,0.2539,617179.00000000,2022-12-30 23:59:59.999000064,154572.61340000,1459,305753.00000000,76712.73480000,0
2022-12-31,0.253,0.2593,0.2464,0.2482,1097235.00000000,2022-12-31 23:59:59.999000064,276266.37320000,1652,486996.00000000,122619.75640000,0
2023-01-01,0.2478,0.253,0.2457,0.2508,220032.00000000,2023-01-01 23:59:59.999000064,54585.10460000,351,120360.00000000,29757.07410000,0
2023-01-02,0.2514,0.3234,0.2476,0.3055,24445745.00000000,2023-01-02 23:59:59.999000064,7203533.45140000,51202,12121639.00000000,3574799.93910000,0
2023-01-03,0.3059,0.3231,0.3031,0.3138,1125685.00000000,2023-01-03 23:59:59.999000064,352947.52600000,2725,558075.00000000,175138.27340000,0
